Raw,Filtered
0.00,-0.09
0.00,0.18
0.00,-0.14
0.00,0.03
0.00,0.09
0.00,-0.17
0.00,0.13
1.00,0.21
0.00,0.07
0.00,0.42
0.00,0.22
0.00,0.37
0.00,0.31
0.00,-0.04
0.00,0.08
0.00,-0.16
0.00,-0.21
0.00,0.02
0.00,-0.15
0.00,0.08
0.00,0.14
0.00,-0.02
0.00,0.18
0.00,-0.01
0.00,-0.07
0.00,0.06
0.00,-0.16
0.00,-0.00
0.00,0.03
0.00,-0.09
0.00,0.12
0.00,-0.00
0.00,-0.01
0.00,0.10
0.00,-0.09
0.00,0.02
0.00,0.01
0.00,-0.10
0.00,0.08
39.00,9.68
460.00,487.03
460.00,1026.46
448.00,1800.12
462.00,2513.71
463.00,2917.17
461.00,2936.90
464.00,2640.54
465.00,2187.11
463.00,1763.03
466.00,1514.43
473.00,1499.68
476.00,1684.52
475.00,1952.56
476.00,2225.81
479.00,2398.41
447.00,2400.98
448.00,2280.15
452.00,2079.32
454.00,1885.31
455.00,1766.98
461.00,1756.60
466.00,1839.57
467.00,1972.90
467.00,2104.46
476.00,2198.97
446.00,2200.19
451.00,2147.80
451.00,2044.16
456.00,1944.26
454.00,1878.23
460.00,1872.32
466.00,1918.61
479.00,2006.32
456.00,2076.08
445.00,2114.64
447.00,2101.03
445.00,2038.86
447.00,1963.55
447.00,1901.35
467.00,1891.77
473.00,1927.30
474.00,2002.49
477.00,2091.05
477.00,2159.85
480.00,2194.71
447.00,2158.09
449.00,2091.16
447.00,1992.96
450.00,1908.68
446.00,1858.01
452.00,1860.88
451.00,1899.33
455.00,1962.06
458.00,2023.46
462.00,2069.06
467.00,2092.60
469.00,2094.32
459.00,2072.09
448.00,2032.46
0.00,401.68
0.00,526.66
0.00,413.14
0.00,169.69
0.00,-115.27
0.00,-306.64
0.00,-353.13
0.00,-290.34
0.00,-131.04
0.00,37.47
0.00,145.84
445.00,306.10
447.00,388.72
452.00,525.46
457.00,722.29
457.00,907.51
460.00,1059.51
475.00,1156.81
479.00,1167.28
479.00,1137.23
446.00,1075.04
460.00,1014.70
465.00,988.05
467.00,984.44
471.00,1004.13
471.00,1050.59
475.00,1087.40
443.00,1103.54
443.00,1111.64
434.00,1082.15
431.00,1045.97
426.00,1007.16
425.00,967.28
422.00,951.77
420.00,947.95
419.00,951.01
419.00,968.96
454.00,988.63
447.00,998.48
448.00,1015.48
452.00,1021.76
455.00,1030.19
458.00,1039.01
461.00,1039.03
460.00,1045.41
461.00,1050.22
461.00,1050.05
464.00,1058.02
465.00,1059.75
463.00,1059.66
464.00,1065.46
465.00,1063.68
465.00,1064.26
467.00,1067.98
467.00,1065.13
467.00,1068.22
466.00,1070.42
465.00,1068.08
467.00,1072.00
464.00,1070.27
465.00,1067.67
463.00,1068.84
458.00,1063.34
458.00,1060.01
465.00,1061.09
467.00,1057.31
471.00,1060.72
472.00,1066.51
478.00,1072.52
459.00,1077.09
446.00,1075.84
445.00,1068.10
446.00,1057.38
447.00,1039.14
450.00,1024.05
453.00,1017.82
456.00,1016.24
457.00,1024.72
459.00,1038.49
461.00,1049.79
461.00,1061.27
460.00,1066.02
460.00,1064.32
462.00,1062.74
463.00,1057.14
466.00,1053.97
467.00,1055.91
471.00,1059.31
470.00,1066.21
469.00,1074.52
478.00,1081.94
477.00,1088.08
475.00,1091.21
474.00,1091.07
457.00,1086.29
459.00,1080.04
0.00,1077.50
0.00,994.93
0.00,732.56
0.00,377.68
0.00,27.67
0.00,-214.78
0.00,-299.71
1.00,-249.61
0.00,-107.84
1.00,52.85
0.00,164.06
0.00,205.53
0.00,150.55
0.00,84.97
0.00,-7.59
0.00,-80.40
0.00,-109.78
0.00,-77.38
0.00,-49.00
0.00,-17.97
0.00,31.54
0.00,29.98
0.00,26.84
0.00,16.07
0.00,-0.49
0.00,-6.73
0.00,-12.51
0.00,-13.27
0.00,-4.38
0.00,-0.67
0.00,4.58
0.00,9.65
0.00,5.58
0.00,4.33
0.00,1.63
0.00,-4.43
0.00,-3.23
0.00,-3.61
0.00,-3.86
0.00,1.12
0.00,0.97
0.00,1.56
0.00,3.74
0.00,0.37
0.00,0.25
0.00,0.33
0.00,-2.62
0.00,-0.65
0.00,-0.41
0.00,-1.38
0.00,1.44
1.00,0.75
0.00,0.15
0.00,1.92
0.00,-0.25
0.00,-0.03
0.00,0.74
0.00,-1.32
0.00,0.06
0.00,0.25
1.00,-0.73
0.00,1.03
0.00,0.43
0.00,-0.10
0.00,1.34
0.00,-0.22
0.00,-0.19
0.00,0.60
0.00,-0.96
0.00,-0.00
0.00,0.31
0.00,-0.75
0.00,0.62
0.00,0.18
0.00,-0.43
0.00,0.74
0.00,-0.30
0.00,-0.30
0.00,0.53
0.00,-0.60
0.00,0.04
0.00,0.39
0.00,-0.56
0.00,0.40
65.00,16.52
0.00,9.59
0.00,18.66
0.00,22.46
136.00,55.18
0.00,36.23
241.00,150.90
0.00,178.28
91.00,272.25
0.00,288.91
401.00,371.86
0.00,328.89
262.00,443.46
0.00,434.11
470.00,534.79
0.00,506.39
385.00,587.63
0.00,575.51
0.00,574.79
235.00,545.68
0.00,383.76
0.00,259.24
0.00,157.51
170.00,132.83
0.00,66.75
450.00,220.50
448.00,359.57
445.00,566.00
479.00,815.92
473.00,1030.34
469.00,1168.94
462.00,1219.95
458.00,1187.28
453.00,1102.90
451.00,1014.17
448.00,945.49
446.00,919.98
448.00,939.88
475.00,990.91
471.00,1048.10
468.00,1097.88
461.00,1121.30
460.00,1123.09
456.00,1100.59
453.00,1065.15
447.00,1033.00
445.00,1008.47
478.00,1009.02
474.00,1021.34
467.00,1042.48
463.00,1069.19
457.00,1088.69
451.00,1091.05
447.00,1081.06
479.00,1070.47
473.00,1051.06
467.00,1043.30
461.00,1043.84
456.00,1050.82
450.00,1059.75
447.00,1061.55
451.00,1058.80
478.00,1059.11
472.00,1051.57
468.00,1052.07
465.00,1057.87
460.00,1063.56
457.00,1069.70
455.00,1069.65
453.00,1063.33
451.00,1054.50
449.00,1042.15
446.00,1031.15
447.00,1025.32
480.00,1031.58
476.00,1039.40
474.00,1056.10
472.00,1073.64
467.00,1088.64
467.00,1096.79
464.00,1093.08
462.00,1083.63
459.00,1069.37
457.00,1054.51
456.00,1045.15
453.00,1039.09
450.00,1036.70
448.00,1038.15
447.00,1038.26
446.00,1036.73
462.00,1039.71
478.00,1044.10
472.00,1049.04
471.00,1060.54
467.00,1071.27
465.00,1080.50
459.00,1082.79
455.00,1076.86
455.00,1066.86
451.00,1052.70
448.00,1038.31
446.00,1028.28
480.00,1033.54
473.00,1038.16
470.00,1052.67
468.00,1069.65
464.00,1082.58
462.00,1088.91
459.00,1084.74
456.00,1073.03
454.00,1058.35
451.00,1042.93
449.00,1031.75
